customer_id,signup_date,customer_segment,country,preferred_payment_method
CUST-000001,2022-08-02,retail,IN,card
CUST-000002,2019-03-07,retail,US,card
CUST-000003,2022-04-21,retail,CA,digital_wallet
CUST-000004,2019-07-29,retail,US,digital_wallet
CUST-000005,2021-02-14,retail,US,card
CUST-000006,2023-05-03,retail,US,card
CUST-000007,2020-03-05,smb,IN,bank_transfer
CUST-000008,2020-07-06,enterprise,DE,card
CUST-000009,2020-03-08,enterprise,DE,bank_transfer
CUST-000010,2019-10-13,retail,DE,card
CUST-000011,2019-04-07,smb,US,card
CUST-000012,2020-05-29,enterprise,CA,card
CUST-000013,2019-08-17,retail,US,card
CUST-000014,2019-08-06,smb,US,card
CUST-000015,2021-12-22,enterprise,DE,card
CUST-000016,2019-06-11,retail,GB,card
CUST-000017,2021-05-16,enterprise,CA,digital_wallet
CUST-000018,2024-01-17,retail,US,card
CUST-000019,2022-07-16,retail,US,card
CUST-000020,2023-01-21,enterprise,DE,card
CUST-000021,2023-02-02,retail,IN,card
CUST-000022,2022-01-03,retail,GB,card
CUST-000023,2023-09-09,retail,US,digital_wallet
CUST-000024,2019-12-04,retail,AU,card
CUST-000025,2022-02-12,smb,GB,card
CUST-000026,2019-04-13,retail,GB,digital_wallet
CUST-000027,2019-09-03,enterprise,DE,card
CUST-000028,2020-06-18,retail,IN,card
CUST-000029,2019-05-29,retail,DE,card
CUST-000030,2019-05-21,smb,US,card
CUST-000031,2020-09-05,enterprise,US,digital_wallet
CUST-000032,2020-03-07,smb,US,card
CUST-000033,2019-01-08,retail,US,digital_wallet
CUST-000034,2024-04-19,smb,CA,card
CUST-000035,2024-01-16,enterprise,AU,card
CUST-000036,2023-11-27,retail,DE,card
CUST-000037,2019-02-20,retail,CA,digital_wallet
CUST-000038,2022-12-07,retail,CA,digital_wallet
CUST-000039,2020-04-11,retail,IN,card
CUST-000040,2022-10-23,enterprise,GB,digital_wallet
CUST-000041,2022-05-26,enterprise,US,digital_wallet
CUST-000042,2022-11-07,smb,IN,bank_transfer
CUST-000043,2023-10-03,retail,CA,card
CUST-000044,2022-09-23,enterprise,IN,digital_wallet
CUST-000045,2022-09-02,retail,GB,bank_transfer
CUST-000046,2020-08-04,retail,DE,card
CUST-000047,2019-02-20,retail,AU,card
CUST-000048,2021-02-25,retail,US,bank_transfer
CUST-000049,2019-12-27,smb,IN,card
CUST-000050,2020-10-11,enterprise,CA,card
CUST-000051,2023-03-04,smb,GB,digital_wallet
CUST-000052,2021-06-19,retail,US,card
CUST-000053,2022-12-17,retail,GB,card
CUST-000054,2024-04-21,smb,CA,digital_wallet
CUST-000055,2022-05-20,smb,GB,card
CUST-000056,2023-09-18,retail,US,card
CUST-000057,2019-10-05,smb,US,card
CUST-000058,2023-03-15,retail,AU,card
CUST-000059,2020-02-13,smb,DE,card
CUST-000060,2021-01-25,retail,DE,bank_transfer
CUST-000061,2024-05-16,retail,CA,card
CUST-000062,2022-11-02,smb,US,digital_wallet
CUST-000063,2020-11-29,retail,GB,card
CUST-000064,2019-12-27,smb,AU,card
CUST-000065,2020-07-03,retail,US,digital_wallet
CUST-000066,2020-11-19,retail,CA,card
CUST-000067,2020-07-19,retail,GB,card
CUST-000068,2022-12-28,retail,IN,card
CUST-000069,2021-12-23,retail,AU,card
CUST-000070,2020-10-08,retail,GB,digital_wallet
CUST-000071,2021-12-10,retail,AU,digital_wallet
CUST-000072,2019-04-04,enterprise,DE,bank_transfer
CUST-000073,2020-01-13,enterprise,US,digital_wallet
CUST-000074,2019-11-07,retail,DE,card
CUST-000075,2020-04-07,smb,US,digital_wallet
CUST-000076,2024-05-20,smb,CA,card
CUST-000077,2019-01-06,retail,IN,card
CUST-000078,2023-06-09,smb,IN,digital_wallet
CUST-000079,2020-09-21,retail,IN,digital_wallet
CUST-000080,2022-01-10,retail,US,card
CUST-000081,2023-09-09,smb,DE,card
CUST-000082,2020-07-23,retail,DE,card
CUST-000083,2023-10-23,retail,GB,card
CUST-000084,2023-05-02,retail,GB,digital_wallet
