failure_id,attempt_id,transaction_id,customer_id,failed_at,failure_reason,processor_response_code
FAIL-0000001,ATT-0000023,TXN-0000023,CUST-000007,2020-10-14T03:08:00,expired_card,54
FAIL-0000002,ATT-0000024,TXN-0000023,CUST-000007,2020-10-16T03:08:00,expired_card,54
FAIL-0000003,ATT-0000027,TXN-0000026,CUST-000007,2021-05-30T03:01:00,temporary_network_error,91
FAIL-0000004,ATT-0000039,TXN-0000037,CUST-000009,2020-07-19T03:58:00,insufficient_funds,51
FAIL-0000005,ATT-0000040,TXN-0000037,CUST-000009,2020-07-22T03:58:00,insufficient_funds,51
FAIL-0000006,ATT-0000041,TXN-0000037,CUST-000009,2020-07-30T03:58:00,insufficient_funds,51
FAIL-0000007,ATT-0000046,TXN-0000042,CUST-000010,2020-02-20T05:37:00,insufficient_funds,51
FAIL-0000008,ATT-0000047,TXN-0000042,CUST-000010,2020-02-22T05:37:00,insufficient_funds,51
FAIL-0000009,ATT-0000048,TXN-0000042,CUST-000010,2020-02-28T05:37:00,insufficient_funds,51
FAIL-0000010,ATT-0000051,TXN-0000045,CUST-000011,2019-12-04T12:20:00,insufficient_funds,51
FAIL-0000011,ATT-0000060,TXN-0000053,CUST-000012,2021-08-04T19:36:00,expired_card,54
FAIL-0000012,ATT-0000061,TXN-0000053,CUST-000012,2021-08-06T19:36:00,expired_card,54
FAIL-0000013,ATT-0000078,TXN-0000069,CUST-000015,2022-02-21T04:57:00,expired_card,54
FAIL-0000014,ATT-0000079,TXN-0000069,CUST-000015,2022-02-22T04:57:00,expired_card,54
FAIL-0000015,ATT-0000091,TXN-0000081,CUST-000017,2022-04-10T05:43:00,risk_review_hold,57
FAIL-0000016,ATT-0000097,TXN-0000086,CUST-000018,2024-06-02T07:28:00,insufficient_funds,51
FAIL-0000017,ATT-0000102,TXN-0000090,CUST-000019,2022-09-13T18:33:00,temporary_network_error,91
FAIL-0000018,ATT-0000110,TXN-0000097,CUST-000020,2023-03-04T06:26:00,insufficient_funds,51
FAIL-0000019,ATT-0000111,TXN-0000098,CUST-000020,2023-05-06T07:11:00,temporary_network_error,91
FAIL-0000020,ATT-0000123,TXN-0000110,CUST-000022,2022-01-05T18:15:00,insufficient_funds,51
FAIL-0000021,ATT-0000150,TXN-0000136,CUST-000027,2020-01-15T04:32:00,expired_card,54
FAIL-0000022,ATT-0000154,TXN-0000140,CUST-000027,2020-09-01T02:57:00,insufficient_funds,51
FAIL-0000023,ATT-0000155,TXN-0000140,CUST-000027,2020-09-03T02:57:00,insufficient_funds,51
FAIL-0000024,ATT-0000156,TXN-0000140,CUST-000027,2020-09-06T02:57:00,insufficient_funds,51
FAIL-0000025,ATT-0000201,TXN-0000185,CUST-000037,2019-04-16T00:11:00,insufficient_funds,51
FAIL-0000026,ATT-0000210,TXN-0000193,CUST-000039,2020-04-21T11:38:00,bank_unavailable,96
FAIL-0000027,ATT-0000211,TXN-0000193,CUST-000039,2020-04-24T11:38:00,bank_unavailable,96
FAIL-0000028,ATT-0000212,TXN-0000193,CUST-000039,2020-05-03T11:38:00,bank_unavailable,96
FAIL-0000029,ATT-0000214,TXN-0000195,CUST-000039,2020-06-25T10:36:00,risk_review_hold,57
FAIL-0000030,ATT-0000217,TXN-0000198,CUST-000040,2022-11-09T11:28:00,temporary_network_error,91
