transaction_id,customer_id,created_at,amount,currency,payment_method,status,recovery_outcome
TXN-0000001,CUST-000001,2022-08-04T01:21:00,58.86,INR,card,completed,not_applicable
TXN-0000002,CUST-000001,2022-11-30T01:21:00,12.52,INR,card,completed,not_applicable
TXN-0000003,CUST-000001,2023-03-21T01:21:00,118.89,INR,card,completed,not_applicable
TXN-0000004,CUST-000002,2019-03-18T02:14:00,73.17,USD,card,completed,not_applicable
TXN-0000005,CUST-000002,2019-04-18T02:14:00,30.65,USD,card,completed,not_applicable
TXN-0000006,CUST-000002,2019-06-26T02:14:00,183.32,USD,card,completed,not_applicable
TXN-0000007,CUST-000002,2019-08-04T02:14:00,30.02,USD,card,completed,not_applicable
TXN-0000008,CUST-000002,2019-10-21T02:14:00,57.51,USD,card,completed,not_applicable
TXN-0000009,CUST-000002,2019-11-15T02:14:00,129.91,USD,card,completed,not_applicable
TXN-0000010,CUST-000003,2022-05-17T13:38:00,42.67,CAD,card,completed,not_applicable
TXN-0000011,CUST-000003,2022-09-10T13:38:00,88.72,CAD,digital_wallet,completed,not_applicable
TXN-0000012,CUST-000003,2022-11-25T13:38:00,52.98,CAD,digital_wallet,completed,not_applicable
TXN-0000013,CUST-000004,2019-09-08T02:50:00,28.30,USD,digital_wallet,completed,not_applicable
TXN-0000014,CUST-000004,2019-10-17T02:50:00,6.92,USD,digital_wallet,completed,not_applicable
TXN-0000015,CUST-000005,2021-02-16T03:03:00,10.27,USD,card,completed,not_applicable
TXN-0000016,CUST-000005,2021-03-08T03:03:00,10.89,USD,card,completed,not_applicable
TXN-0000017,CUST-000005,2021-04-26T03:03:00,19.56,USD,card,completed,not_applicable
TXN-0000018,CUST-000005,2021-06-26T03:03:00,35.36,USD,digital_wallet,completed,not_applicable
TXN-0000019,CUST-000006,2023-06-03T02:44:00,62.50,USD,card,completed,not_applicable
TXN-0000020,CUST-000006,2023-08-09T02:44:00,66.15,USD,card,completed,not_applicable
TXN-0000021,CUST-000007,2020-03-06T00:53:00,812.02,INR,bank_transfer,completed,not_applicable
TXN-0000022,CUST-000007,2020-06-30T00:53:00,320.26,INR,bank_transfer,completed,not_applicable
TXN-0000023,CUST-000007,2020-10-14T00:53:00,256.95,INR,bank_transfer,failed,unrecovered
TXN-0000024,CUST-000007,2021-02-05T00:53:00,159.25,INR,bank_transfer,completed,not_applicable
TXN-0000025,CUST-000007,2021-03-29T00:53:00,304.75,INR,bank_transfer,completed,not_applicable
TXN-0000026,CUST-000007,2021-05-30T00:53:00,405.68,INR,bank_transfer,failed,recovered_retry
TXN-0000027,CUST-000007,2021-09-15T00:53:00,142.87,INR,bank_transfer,completed,not_applicable
TXN-0000028,CUST-000008,2020-08-26T21:49:00,16239.44,EUR,card,completed,not_applicable
TXN-0000029,CUST-000008,2020-10-19T21:49:00,5819.10,EUR,card,completed,not_applicable
TXN-0000030,CUST-000008,2020-11-18T21:49:00,1287.37,EUR,card,completed,not_applicable
TXN-0000031,CUST-000008,2021-01-17T21:49:00,6588.95,EUR,digital_wallet,completed,not_applicable
TXN-0000032,CUST-000008,2021-02-11T21:49:00,12608.22,EUR,card,completed,not_applicable
TXN-0000033,CUST-000008,2021-04-02T21:49:00,771.30,EUR,card,completed,not_applicable
TXN-0000034,CUST-000008,2021-06-18T21:49:00,5885.43,EUR,card,completed,not_applicable
TXN-0000035,CUST-000009,2020-03-09T03:41:00,4305.29,EUR,bank_transfer,completed,not_applicable
TXN-0000036,CUST-000009,2020-06-28T03:41:00,4852.35,EUR,bank_transfer,completed,not_applicable
TXN-0000037,CUST-000009,2020-07-19T03:41:00,3032.84,EUR,card,failed,unrecovered
TXN-0000038,CUST-000009,2020-09-30T03:41:00,2740.42,EUR,card,completed,not_applicable
TXN-0000039,CUST-000010,2019-10-18T03:26:00,64.79,EUR,card,completed,not_applicable
TXN-0000040,CUST-000010,2019-12-02T03:26:00,82.94,EUR,card,completed,not_applicable
TXN-0000041,CUST-000010,2020-01-07T03:26:00,147.13,EUR,card,completed,not_applicable
TXN-0000042,CUST-000010,2020-02-20T03:26:00,292.11,EUR,card,failed,unrecovered
TXN-0000043,CUST-000011,2019-05-29T11:06:00,148.66,USD,card,completed,not_applicable
TXN-0000044,CUST-000011,2019-08-27T11:06:00,286.15,USD,card,completed,not_applicable
TXN-0000045,CUST-000011,2019-12-04T11:06:00,80.72,USD,card,failed,recovered_retry
TXN-0000046,CUST-000011,2020-01-26T11:06:00,1372.14,USD,bank_transfer,completed,not_applicable
TXN-0000047,CUST-000011,2020-04-23T11:06:00,943.06,USD,card,completed,not_applicable
