feature,gain,weight,cover
failure_reason_temporary_network_error,12.430682182312012,34,336.54608154296875
failure_reason_expired_card,12.065332412719727,36,335.9763488769531
failure_reason_invalid_payment_method,11.749832153320312,30,314.7951354980469
failure_reason_risk_review_hold,8.669217109680176,26,301.23052978515625
failure_reason_payment_method_limit_exceeded,7.451094627380371,4,135.43019104003906
failure_reason_bank_unavailable,6.549933433532715,19,260.6979064941406
preferred_payment_method_bank_transfer,6.477950096130371,2,181.60655212402344
prior_recovery_rate,5.750174522399902,80,169.63201904296875
method_mismatch,5.736302375793457,10,143.2788543701172
failure_reason_insufficient_funds,5.653959274291992,21,96.9400863647461
prior_failed_count,5.05849552154541,6,122.5866928100586
customer_segment_smb,4.891282558441162,8,27.41879653930664
country_IN,4.872478008270264,10,54.864837646484375
country_GB,4.74314022064209,10,111.2965087890625
customer_tenure_days,4.6637492179870605,226,127.4837417602539
created_hour,4.578521251678467,137,122.86822509765625
amount,4.531369686126709,221,117.1219253540039
payment_method_card,4.516833305358887,10,67.04225158691406
prior_recovered_count,4.507096767425537,38,219.45037841796875
has_prior_history,4.499455451965332,1,34.00804901123047
preferred_payment_method_digital_wallet,4.436004161834717,4,30.18243408203125
created_weekday,4.419915676116943,64,79.49906921386719
time_to_first_attempt_minutes,4.303839206695557,240,128.68032836914062
country_DE,4.071040153503418,8,185.96531677246094
created_month,3.7949657440185547,78,76.52750396728516
country_US,3.7197818756103516,19,43.6486930847168
customer_segment_retail,3.668855905532837,7,90.64900207519531
country_CA,3.6363413333892822,4,164.9591522216797
prior_txn_count,3.6353652477264404,34,100.20416259765625
customer_segment_enterprise,3.629249095916748,4,218.9378662109375
log_amount,3.599473476409912,13,49.23949432373047
is_high_value,3.444502592086792,6,329.6438293457031
country_AU,3.207944393157959,2,258.94189453125
payment_method_digital_wallet,3.0678629875183105,7,222.03785705566406
preferred_payment_method_card,2.8451130390167236,7,16.640750885009766
payment_method_bank_transfer,0.0,0,0.0
